用户ID,性别,年龄,是否会员,常用省份,常用城市
2372,女,24,是,内蒙古,呼和浩特
2373,男,27,否,浙江,宁波
2374,女,26,是,内蒙古,呼和浩特
2375,男,21,是,云南,昆明
2376,女,45,是,湖南,衡阳
2377,男,35,是,重庆,重庆
2378,男,54,否,浙江,金华
2379,男,23,否,黑龙江,哈尔滨
2380,女,34,否,黑龙江,哈尔滨
2381,男,47,是,内蒙古,呼和浩特
2382,女,49,否,辽宁,沈阳
2383,女,41,是,黑龙江,齐齐哈尔
2384,男,32,是,天津,天津
2385,男,20,否,黑龙江,齐齐哈尔
2386,女,43,否,广东,深圳
2387,男,26,否,上海,上海
2388,男,21,否,北京,北京
2389,女,42,是,北京,北京
2390,女,22,否,天津,天津
2391,男,27,是,新疆,克拉玛依
2392,女,18,是,山东,青岛
2393,男,30,否,山东,威海
2394,男,28,是,山东,烟台
2395,男,33,是,江西,赣州
2396,女,19,是,福建,漳州
2397,女,23,是,浙江,宁波
2398,男,22,否,湖北,襄阳
2399,女,27,是,福建,厦门
2400,男,40,否,广东,珠海
2401,女,27,是,山东,济南
2402,女,19,否,四川,乐山
2403,女,23,否,广东,佛山
2404,女,27,是,福建,泉州
2405,女,19,否,浙江,绍兴
2406,男,37,是,重庆,重庆
2407,男,29,否,甘肃,兰州
2408,女,31,是,北京,北京
2409,女,25,是,西藏,拉萨
2410,女,22,否,河北,廊坊
2411,女,31,否,山东,威海
2412,女,38,是,江苏,南通
2413,女,37,是,江苏,无锡
2414,女,26,是,河北,石家庄
2415,女,24,是,安徽,蚌埠
2416,男,33,否,广东,珠海
2417,男,41,是,云南,大理
2418,男,43,是,辽宁,大连
2419,女,39,是,陕西,宝鸡
2420,男,53,否,甘肃,酒泉
2421,男,21,否,湖南,衡阳
2422,男,38,否,河北,廊坊
2423,男,41,否,上海,上海
2424,女,21,是,湖南,湘潭
2425,男,19,否,广东,中山
2426,男,27,是,安徽,合肥
2427,女,35,是,新疆,克拉玛依
2428,男,30,否,江苏,南通
2429,女,18,否,河南,许昌
2430,女,33,否,辽宁,鞍山
2431,女,23,是,广西,桂林
2432,女,44,否,江西,南昌
2433,女,22,否,辽宁,大连
2434,男,31,否,北京,北京
2435,男,32,是,安徽,安庆
2436,女,21,否,湖北,武汉
2437,女,32,是,福建,泉州
2438,男,48,否,黑龙江,大庆
2439,女,24,是,海南,三亚
2440,男,64,否,陕西,咸阳
2441,男,37,否,陕西,渭南
2442,男,35,是,广东,佛山
2443,女,22,否,北京,北京
2444,女,26,否,北京,北京
2445,女,33,否,安徽,安庆
2446,男,31,否,浙江,宁波
2447,男,23,是,湖北,荆州
2448,女,25,否,海南,三亚
2449,女,38,否,青海,海东
2450,男,32,否,甘肃,酒泉
2451,女,23,否,北京,北京
2452,男,20,否,四川,南充
2453,男,29,否,宁夏,石嘴山
2454,男,27,是,甘肃,酒泉
2455,女,21,否,江苏,苏州
2456,男,28,否,重庆,重庆
2457,男,20,是,湖北,襄阳
2458,男,30,是,山西,大同
2459,女,24,是,广东,东莞
2460,男,19,是,重庆,重庆
2461,女,31,否,陕西,宝鸡
2462,女,22,否,江苏,无锡
2463,女,18,否,四川,南充
2464,女,53,否,北京,北京
2465,女,29,是,浙江,温州
2466,女,33,否,山西,临汾
2467,女,22,是,黑龙江,齐齐哈尔
2468,女,22,是,四川,宜宾
2469,男,18,否,湖南,长沙
2470,男,25,否,河北,唐山
2471,男,32,是,山东,临沂
2472,女,30,是,湖南,湘潭
2473,男,48,是,黑龙江,齐齐哈尔
2474,男,32,是,山东,威海
2475,女,31,否,江西,上饶
2476,男,62,是,湖北,襄阳
2477,女,50,是,江西,南昌
2478,女,34,是,新疆,喀什
2479,女,29,否,江苏,无锡
2480,女,34,否,江西,上饶
2481,女,42,是,广西,柳州
2482,男,35,是,上海,上海
2483,男,22,是,安徽,安庆
2484,女,49,否,吉林,吉林
2485,男,31,否,上海,上海
2486,女,43,是,上海,上海
2487,女,50,否,新疆,乌鲁木齐
2488,男,34,是,四川,乐山
2489,男,24,是,安徽,蚌埠
2490,女,45,否,天津,天津
2491,女,23,是,江西,南昌
2492,男,42,是,重庆,重庆
2493,男,35,否,天津,天津
2494,男,20,是,广东,深圳
2495,女,53,是,湖北,荆州
2496,女,23,是,广西,北海
2497,男,34,是,北京,北京
2498,女,23,否,河南,洛阳
2499,女,41,是,河北,唐山
2500,男,20,是,宁夏,银川
2501,女,32,是,广东,珠海
2502,女,30,否,山东,临沂
2503,女,24,否,湖北,武汉
2504,女,28,是,内蒙古,鄂尔多斯
2505,男,23,否,北京,北京
2506,女,29,是,陕西,宝鸡
2507,男,54,是,黑龙江,大庆
2508,女,34,否,天津,天津
2509,男,29,否,河北,保定
2510,男,38,否,贵州,安顺
2511,男,28,是,宁夏,银川
2512,男,19,否,贵州,贵阳
2513,男,32,否,福建,厦门
2514,女,29,是,广西,南宁
2515,男,31,否,江苏,苏州
2516,女,19,否,甘肃,兰州
2517,男,30,是,广东,东莞
2518,女,29,是,浙江,温州
2519,男,36,是,河北,保定
2520,男,20,否,河南,许昌
2521,女,68,是,江苏,南京
2522,男,26,否,安徽,合肥
2523,女,26,否,浙江,金华
2524,女,27,是,海南,海口
2525,女,38,是,黑龙江,齐齐哈尔
2526,女,22,否,北京,北京
2527,女,18,是,广东,珠海
2528,男,24,是,河南,洛阳
2529,男,31,否,云南,曲靖
2530,男,18,否,浙江,温州
2531,男,33,否,宁夏,石嘴山
2532,男,27,否,贵州,遵义
2533,男,26,否,北京,北京
2534,女,37,否,甘肃,酒泉
2535,女,42,否,福建,福州
2536,男,30,是,浙江,宁波
2537,男,34,否,广西,南宁
2538,女,30,是,北京,北京
2539,男,33,否,山西,大同
2540,女,43,否,浙江,绍兴
2541,女,21,是,上海,上海
2542,女,29,是,云南,曲靖
2543,男,32,是,山西,大同
2544,女,21,否,广西,桂林
2545,男,40,否,山东,烟台
2546,女,25,否,广东,珠海
2547,男,19,是,广西,桂林
2548,男,38,是,北京,北京
2549,女,41,是,江西,南昌
2550,男,18,是,北京,北京
2551,男,37,否,江苏,常州
2552,男,33,否,四川,乐山
2553,女,18,是,江西,赣州
2554,男,38,否,上海,上海
2555,男,34,否,福建,泉州
2556,男,39,是,北京,北京
2557,女,24,是,湖北,武汉
2558,女,54,否,山东,烟台
2559,男,22,是,内蒙古,鄂尔多斯
2560,男,43,否,天津,天津
2561,男,21,是,陕西,西安
2562,女,52,是,甘肃,酒泉
2563,女,55,是,上海,上海
2564,男,31,否,安徽,蚌埠
2565,男,24,否,广东,广州
2566,男,20,是,北京,北京
2567,男,32,是,上海,上海
2568,男,31,是,上海,上海
2569,女,23,是,云南,大理
2570,女,25,否,四川,绵阳
2571,男,39,是,宁夏,银川
2572,女,28,否,四川,绵阳
2573,女,31,是,西藏,拉萨
2574,女,37,否,天津,天津
2575,男,31,否,湖北,襄阳
2576,男,54,否,内蒙古,包头
2577,女,26,否,江西,九江
2578,男,26,否,四川,乐山
2579,女,47,是,内蒙古,呼和浩特
2580,女,41,否,海南,海口
2581,女,44,否,福建,泉州
2582,男,21,否,山东,烟台
2583,男,34,是,江苏,南通
2584,男,25,否,湖南,湘潭
2585,女,33,否,广西,柳州
2586,女,31,是,内蒙古,呼和浩特
2587,男,35,是,江苏,无锡
2588,女,23,是,内蒙古,呼和浩特
2589,男,38,是,上海,上海
2590,男,18,否,江苏,南通
2591,男,24,是,海南,海口
2592,女,38,是,天津,天津
2593,女,43,是,黑龙江,哈尔滨
2594,女,34,否,西藏,日喀则
2595,女,42,否,四川,南充
2596,女,22,是,广东,佛山
2597,女,21,否,上海,上海
2598,女,18,否,陕西,渭南
2599,女,26,否,河北,唐山
2600,女,26,否,北京,北京
2601,女,42,否,河北,石家庄
2602,女,29,是,贵州,贵阳
2603,男,25,否,湖北,荆州
2604,女,23,是,湖北,荆州
2605,男,24,否,海南,儋州
2606,男,26,否,新疆,乌鲁木齐
2607,男,25,是,福建,泉州
2608,男,28,否,山东,烟台
2609,男,20,否,云南,昆明
2610,男,20,否,福建,泉州
2611,女,28,是,内蒙古,鄂尔多斯
2612,男,20,是,广东,东莞
2613,男,28,否,四川,成都
2614,男,52,是,上海,上海
2615,女,30,是,广东,中山
2616,女,23,是,广东,东莞
2617,女,41,否,河南,郑州
2618,女,21,是,吉林,吉林
2619,女,42,否,重庆,重庆
2620,男,21,是,青海,西宁
2621,男,43,否,天津,天津
2622,男,30,是,云南,曲靖
2623,男,31,是,北京,北京
2624,男,48,否,宁夏,石嘴山
2625,男,27,是,陕西,渭南
2626,女,33,否,江西,九江
2627,女,38,是,福建,福州
2628,男,34,是,上海,上海
2629,女,29,否,四川,南充
2630,男,43,否,河南,新乡
2631,男,26,否,内蒙古,呼和浩特
2632,男,31,否,广东,中山
2633,男,37,否,广东,广州
2634,男,40,否,河北,石家庄
2635,男,33,是,山东,临沂
2636,男,19,否,山西,太原
2637,男,19,否,西藏,拉萨
2638,女,21,是,吉林,长春
2639,男,42,是,新疆,乌鲁木齐
2640,女,35,否,天津,天津
2641,男,21,否,江苏,无锡
2642,男,42,是,山东,威海
2643,男,45,否,宁夏,银川
2644,女,20,否,安徽,蚌埠
2645,男,38,是,天津,天津
2646,男,22,是,湖北,襄阳
2647,女,24,是,湖南,衡阳
2648,男,29,是,江苏,常州
2649,女,23,是,内蒙古,包头
2650,男,32,否,云南,昆明
2651,男,26,否,山西,大同
2652,男,18,否,贵州,遵义
2653,女,22,否,江西,九江
2654,男,18,否,浙江,杭州
2655,女,50,是,青海,西宁
2656,女,25,是,湖北,襄阳
2657,男,19,是,浙江,宁波
2658,男,22,是,辽宁,大连
2659,女,36,是,江西,上饶
2660,女,54,否,广东,广州
2661,男,51,是,河北,保定
2662,女,18,是,江西,赣州
2663,女,26,否,江苏,常州
2664,男,20,是,湖北,荆州
2665,男,33,否,湖北,荆州
2666,男,44,是,河南,洛阳
2667,男,33,否,四川,绵阳
2668,男,18,是,天津,天津
2669,女,19,否,广东,珠海
2670,女,34,是,广东,佛山
2671,女,37,否,河北,唐山
2672,男,25,是,辽宁,抚顺
2673,女,34,是,江苏,苏州
2674,女,24,否,上海,上海
2675,女,49,是,陕西,咸阳
2676,女,32,是,黑龙江,哈尔滨
2677,男,27,是,甘肃,酒泉
2678,女,19,是,内蒙古,呼和浩特
2679,女,20,是,辽宁,大连
2680,女,35,是,海南,海口
2681,女,22,否,江西,南昌
2682,男,42,是,湖北,武汉
2683,女,35,否,福建,厦门
2684,女,35,是,浙江,杭州
2685,男,28,是,江苏,南通
2686,男,21,是,海南,海口
2687,男,31,否,海南,海口
2688,男,29,是,甘肃,酒泉
2689,男,31,否,湖北,宜昌
2690,男,20,是,江苏,无锡
2691,女,37,否,天津,天津
2692,女,18,否,山东,青岛
2693,女,23,是,江苏,常州
2694,女,45,是,天津,天津
2695,女,36,是,内蒙古,呼和浩特
2696,女,18,否,河北,唐山
2697,男,19,是,浙江,温州
2698,女,21,是,山东,威海
2699,女,32,否,西藏,拉萨
2700,女,40,否,福建,厦门
2701,男,21,是,陕西,咸阳
2702,男,45,否,浙江,温州
2703,男,23,是,四川,乐山
2704,男,26,是,湖南,湘潭
2705,女,39,是,河北,保定
2706,女,23,是,辽宁,抚顺
2707,女,21,否,广东,佛山
2708,女,26,否,吉林,延边
2709,男,27,否,广东,珠海
2710,男,33,是,山东,青岛
2711,女,18,是,浙江,温州
2712,女,28,是,湖北,武汉
2713,男,19,是,新疆,克拉玛依
2714,女,33,否,天津,天津
2715,男,28,是,吉林,延边
2716,女,55,否,四川,南充
2717,男,18,否,上海,上海
2718,女,32,是,湖北,宜昌
2719,男,25,是,海南,儋州
2720,男,34,否,海南,三亚
2721,男,30,否,贵州,贵阳
2722,女,35,否,吉林,吉林
2723,女,19,否,江西,九江
2724,男,20,否,安徽,安庆
2725,女,26,否,吉林,吉林
2726,女,22,否,宁夏,石嘴山
2727,女,28,否,天津,天津
2728,男,33,否,北京,北京
2729,男,23,否,内蒙古,鄂尔多斯
2730,女,36,是,海南,海口
2731,女,18,是,陕西,西安
2732,男,31,是,江苏,常州
2733,女,43,是,海南,儋州
2734,男,32,否,上海,上海
2735,女,46,否,内蒙古,包头
2736,女,25,否,陕西,西安
2737,男,27,否,湖南,湘潭
2738,男,34,是,重庆,重庆
2739,女,36,是,云南,丽江
2740,女,20,是,江西,南昌
2741,男,20,否,湖北,武汉
2742,女,32,是,甘肃,天水
2743,女,24,否,四川,南充
2744,女,24,是,陕西,渭南
2745,男,51,否,山东,临沂
2746,男,34,是,河北,保定
2747,女,28,否,浙江,杭州
2748,女,34,否,湖北,武汉
2749,女,32,否,山西,大同
2750,男,47,否,湖北,宜昌
2751,女,21,否,辽宁,抚顺
2752,女,34,否,海南,儋州
2753,男,33,否,内蒙古,包头
2754,女,42,否,福建,漳州
2755,男,22,是,陕西,咸阳
2756,女,22,否,青海,西宁
2757,男,25,是,上海,上海
2758,女,47,否,广西,南宁
2759,男,18,是,陕西,渭南
2760,女,22,否,湖南,湘潭
2761,男,18,是,宁夏,银川
2762,男,24,是,辽宁,抚顺
2763,女,22,否,吉林,延边
2764,女,25,是,重庆,重庆
2765,女,22,是,四川,宜宾
2766,女,35,是,黑龙江,大庆
2767,男,40,是,上海,上海
2768,女,36,是,河北,廊坊
2769,男,20,是,湖南,株洲
2770,男,28,是,北京,北京
2771,女,39,否,北京,北京
2772,男,33,是,广东,深圳
2773,男,45,否,河南,新乡
2774,男,35,否,天津,天津
2775,男,47,否,江西,南昌
2776,女,20,是,吉林,延边
2777,女,26,否,吉林,吉林
2778,女,28,否,广东,佛山
2779,女,35,是,北京,北京
2780,女,29,是,山东,济南
2781,男,34,是,贵州,安顺
2782,女,29,否,天津,天津
2783,男,27,否,福建,漳州
2784,女,38,否,广西,柳州
2785,男,32,是,山西,太原
2786,男,34,否,西藏,拉萨
2787,男,46,否,安徽,蚌埠
2788,男,41,是,四川,南充
2789,男,31,是,重庆,重庆
2790,女,21,否,天津,天津
2791,女,21,否,河南,新乡
2792,女,23,否,黑龙江,齐齐哈尔
2793,男,24,是,湖北,武汉
2794,女,32,否,西藏,拉萨
2795,女,50,是,北京,北京
2796,女,20,是,辽宁,抚顺
2797,女,25,是,吉林,吉林
2798,女,31,否,福建,厦门
2799,女,18,否,江西,南昌
2800,男,27,是,北京,北京
2801,男,42,否,辽宁,鞍山
2802,男,27,否,北京,北京
2803,女,32,否,重庆,重庆
2804,男,33,否,山东,烟台
2805,男,44,是,安徽,芜湖
2806,女,41,否,广东,深圳
2807,女,21,否,北京,北京
2808,男,51,是,湖南,株洲
2809,女,18,是,内蒙古,呼和浩特
2810,男,20,否,上海,上海
2811,女,45,是,浙江,杭州
2812,男,25,是,湖南,长沙
2813,男,18,是,江西,赣州
2814,女,21,否,广西,柳州
2815,女,32,否,四川,宜宾
2816,男,43,否,陕西,渭南
2817,女,26,否,江苏,无锡
2818,女,25,是,河南,洛阳
2819,女,18,否,上海,上海
2820,女,28,是,山西,大同
2821,男,37,是,西藏,日喀则
2822,男,22,否,四川,绵阳
2823,女,34,否,浙江,金华
2824,男,27,是,陕西,咸阳
2825,男,18,是,西藏,拉萨
2826,男,24,是,山东,青岛
2827,女,26,否,陕西,西安
2828,男,29,否,广东,佛山
2829,女,34,否,安徽,芜湖
2830,男,18,否,湖北,襄阳
2831,男,52,是,河南,洛阳
2832,女,35,否,湖南,株洲
2833,男,24,是,安徽,芜湖
2834,女,24,是,河南,新乡
2835,女,23,否,河南,新乡
2836,女,27,是,甘肃,天水
2837,男,38,否,重庆,重庆
2838,女,46,是,河南,新乡
2839,男,19,否,天津,天津
2840,男,23,否,北京,北京
2841,男,41,是,广东,中山
2842,女,36,是,广东,珠海
2843,男,26,是,山东,烟台
2844,男,18,是,河南,洛阳
2845,男,43,否,四川,宜宾
2846,男,32,否,天津,天津
2847,男,47,是,陕西,渭南
2848,女,22,是,天津,天津
2849,女,34,否,青海,海东
2850,女,32,否,辽宁,抚顺
2851,男,54,否,湖南,株洲
2852,男,22,是,内蒙古,包头
2853,女,18,是,福建,泉州
2854,女,33,否,四川,南充
2855,女,29,是,北京,北京
2856,女,37,是,上海,上海
2857,女,18,是,新疆,克拉玛依
2858,女,45,是,山西,大同
2859,女,51,是,贵州,遵义
2860,男,28,是,北京,北京
2861,女,18,否,四川,成都
2862,男,22,否,山东,济南
2863,男,31,否,吉林,吉林
2864,女,20,是,广东,东莞
2865,女,29,否,山东,济南
2866,女,41,否,河北,石家庄
2867,女,28,否,天津,天津
2868,男,21,是,广西,柳州
2869,男,36,是,陕西,宝鸡
2870,女,25,是,山西,大同
2871,男,32,否,河南,许昌
2872,女,46,否,上海,上海
2873,男,22,否,广东,珠海
2874,女,29,是,湖南,株洲
2875,男,40,否,福建,泉州
2876,女,39,否,江苏,常州
2877,男,27,否,浙江,杭州
2878,男,33,是,贵州,遵义
2879,女,33,否,北京,北京
2880,女,22,否,江西,九江
2881,男,24,否,青海,海东
2882,女,22,是,河南,许昌
2883,女,24,是,河北,保定
2884,男,56,否,云南,曲靖
2885,女,30,是,上海,上海
2886,女,24,否,河北,廊坊
2887,男,35,否,湖北,宜昌
2888,女,27,是,重庆,重庆
2889,男,22,否,辽宁,抚顺
2890,男,35,否,河北,廊坊
2891,男,35,是,广东,佛山
2892,女,28,是,新疆,喀什
2893,女,48,否,北京,北京
2894,女,38,否,江苏,无锡
2895,女,18,否,山西,大同
2896,女,25,否,贵州,遵义
2897,男,34,否,内蒙古,呼和浩特
2898,女,20,是,河北,唐山
2899,男,29,否,宁夏,银川
2900,女,38,是,西藏,拉萨
2901,女,43,否,云南,曲靖
2902,男,37,是,青海,海东
2903,女,21,否,山东,青岛
2904,女,36,是,海南,儋州
2905,男,43,否,内蒙古,包头
2906,女,27,否,天津,天津
2907,女,48,否,广东,广州
2908,女,49,否,西藏,拉萨
2909,女,24,否,福建,泉州
2910,女,35,否,甘肃,天水
2911,女,39,是,广西,柳州
2912,男,52,是,海南,儋州
2913,男,30,是,江苏,苏州
2914,男,33,是,山西,临汾
2915,女,31,否,上海,上海
2916,女,23,否,江西,九江
2917,女,28,否,贵州,贵阳
2918,男,34,是,吉林,长春
2919,男,32,是,安徽,安庆
2920,女,49,是,海南,海口
2921,男,23,否,山东,临沂
2922,男,38,否,青海,西宁
2923,男,32,否,四川,南充
2924,女,20,是,江苏,苏州
2925,女,40,是,四川,宜宾
2926,男,27,是,上海,上海
2927,女,27,否,河北,廊坊
2928,女,39,否,北京,北京
2929,男,40,是,广西,桂林
2930,女,49,否,湖北,宜昌
2931,男,29,是,浙江,宁波
2932,女,23,否,上海,上海
2933,男,18,是,天津,天津
2934,女,30,是,广东,中山
2935,男,29,是,河北,廊坊
2936,男,22,否,河北,石家庄
2937,女,46,是,江西,赣州
2938,男,21,是,湖北,武汉
2939,男,31,否,四川,南充
2940,女,41,否,重庆,重庆
2941,女,38,是,吉林,长春
2942,女,23,是,湖北,武汉
2943,男,22,是,四川,南充
2944,男,18,是,黑龙江,哈尔滨
2945,女,20,是,四川,乐山
2946,男,24,是,新疆,乌鲁木齐
2947,男,39,是,西藏,拉萨
2948,男,21,是,北京,北京
2949,女,28,是,上海,上海
2950,男,37,是,江西,赣州
2951,女,20,是,湖北,襄阳
2952,男,22,是,江苏,苏州
2953,男,32,否,河南,洛阳
2954,女,21,否,福建,福州
2955,男,67,是,四川,成都
2956,女,50,否,内蒙古,鄂尔多斯
2957,女,26,是,黑龙江,大庆
2958,女,40,是,内蒙古,包头
2959,男,31,是,重庆,重庆
2960,女,34,是,上海,上海
2961,女,41,否,云南,大理
2962,男,49,是,四川,宜宾
2963,男,26,是,陕西,咸阳
2964,男,33,否,上海,上海
2965,男,33,是,湖北,宜昌
2966,男,28,是,湖北,荆州
2967,男,22,是,河北,石家庄
2968,男,29,否,广东,广州
2969,女,30,否,山西,大同
2970,女,31,是,吉林,延边
2971,男,44,否,江西,赣州
2972,女,39,否,重庆,重庆
2973,女,41,否,辽宁,沈阳
2974,女,33,是,四川,乐山
2975,男,46,是,黑龙江,齐齐哈尔
2976,女,38,否,山东,临沂
2977,男,19,是,山东,威海
2978,女,26,是,吉林,延边
2979,男,42,否,北京,北京
2980,男,20,否,甘肃,兰州
2981,女,36,是,辽宁,沈阳
2982,男,18,否,贵州,遵义
2983,女,29,否,西藏,拉萨
2984,男,32,否,天津,天津
2985,男,51,是,四川,宜宾
2986,男,36,是,广东,中山
2987,女,45,否,四川,宜宾
2988,女,19,否,河南,新乡
2989,女,46,否,安徽,安庆
2990,女,29,否,江苏,南京
2991,男,23,是,安徽,合肥
2992,男,19,是,山东,济南
2993,男,20,是,北京,北京
2994,女,30,是,重庆,重庆
2995,女,26,否,河南,新乡
2996,女,34,是,辽宁,大连
2997,女,31,是,福建,泉州
2998,女,26,是,湖北,宜昌
2999,男,24,是,北京,北京
3000,女,19,是,吉林,延边
3001,女,23,否,贵州,贵阳
3002,女,25,否,西藏,拉萨
3003,男,21,是,河北,石家庄
3004,男,19,否,江苏,南通
3005,男,32,是,广东,深圳
3006,女,20,是,广西,柳州
3007,男,24,是,广东,深圳
3008,男,40,是,宁夏,石嘴山
3009,女,23,否,重庆,重庆
3010,男,32,否,北京,北京
3011,女,18,否,内蒙古,呼和浩特
3012,女,22,是,河南,洛阳
3013,男,22,否,甘肃,兰州
3014,男,42,否,辽宁,沈阳
3015,男,26,是,重庆,重庆
3016,男,41,否,北京,北京
3017,女,50,否,四川,成都
3018,女,23,是,湖南,衡阳
3019,男,30,否,陕西,渭南
3020,男,41,是,河南,洛阳
3021,女,25,是,四川,宜宾
3022,男,33,是,江西,南昌
3023,男,33,是,河南,许昌
3024,女,20,是,山西,大同
3025,男,27,是,广东,东莞
3026,女,25,是,河南,洛阳
3027,女,31,否,四川,南充
3028,女,44,否,湖北,荆州
3029,女,20,是,河南,洛阳
3030,女,28,否,四川,乐山
3031,男,47,否,湖北,武汉
3032,男,27,否,吉林,长春
3033,女,27,否,福建,厦门
3034,女,28,是,西藏,拉萨
3035,男,35,否,广东,深圳
3036,男,30,是,广东,佛山
3037,男,19,否,浙江,绍兴
3038,女,18,是,重庆,重庆
3039,男,41,否,天津,天津
3040,女,34,是,广西,桂林
3041,女,40,否,青海,西宁
3042,女,33,否,山东,威海
3043,女,42,是,云南,丽江
3044,女,51,否,广西,柳州
3045,男,31,是,北京,北京
3046,女,25,是,上海,上海
3047,男,18,是,安徽,安庆
3048,女,28,是,广东,深圳
3049,男,19,是,重庆,重庆
3050,女,20,否,安徽,芜湖
3051,男,48,是,四川,绵阳
3052,男,36,是,山东,烟台
3053,女,28,是,河南,新乡
3054,男,42,是,辽宁,鞍山
3055,男,24,是,内蒙古,包头
3056,女,21,是,黑龙江,哈尔滨
3057,女,20,是,福建,厦门
3058,女,30,否,湖北,荆州
3059,男,24,否,山东,烟台
3060,男,31,否,青海,海东
3061,女,37,否,北京,北京
3062,女,19,否,天津,天津
3063,男,20,否,上海,上海
3064,女,47,是,江苏,常州
3065,男,20,否,广西,北海
3066,女,25,是,江苏,南通
3067,男,22,否,海南,海口
3068,男,49,是,广西,北海
3069,女,19,是,浙江,宁波
3070,女,18,是,广东,深圳
3071,男,43,是,甘肃,兰州
3072,女,43,是,西藏,拉萨
3073,女,31,是,黑龙江,哈尔滨
3074,男,30,否,浙江,温州
3075,男,20,否,山东,济南
3076,男,22,是,内蒙古,鄂尔多斯
3077,女,32,是,新疆,喀什
3078,男,22,否,江西,南昌
3079,男,18,是,上海,上海
3080,女,19,否,江苏,南京
3081,男,32,是,河北,唐山
3082,男,21,否,四川,南充
3083,女,42,否,北京,北京
3084,女,36,是,安徽,芜湖
3085,男,26,是,海南,三亚
3086,女,41,是,江西,九江
3087,女,40,否,四川,乐山
3088,男,23,否,江西,上饶
3089,男,28,是,浙江,宁波
3090,男,21,是,广东,佛山
3091,女,29,否,湖南,衡阳
3092,男,22,是,广东,佛山
3093,女,33,否,浙江,温州
3094,女,35,是,广东,珠海
3095,女,28,是,辽宁,大连
3096,男,28,否,广西,桂林
3097,男,43,是,四川,宜宾
3098,男,35,是,甘肃,兰州
3099,男,39,是,山东,烟台
3100,男,32,否,天津,天津
3101,女,20,否,湖南,衡阳
3102,女,25,否,广西,北海
3103,男,24,是,北京,北京
3104,女,51,否,福建,漳州
3105,男,44,是,浙江,绍兴
3106,女,28,是,贵州,遵义
3107,男,20,是,天津,天津
3108,男,25,否,广东,东莞
3109,男,32,否,江西,九江
3110,女,28,是,新疆,喀什
3111,女,32,否,吉林,吉林
3112,女,67,否,天津,天津
3113,男,52,否,吉林,吉林
3114,男,37,是,陕西,咸阳
3115,女,29,是,吉林,延边
3116,男,25,是,重庆,重庆
3117,男,30,是,吉林,吉林
3118,男,38,否,四川,宜宾
3119,男,36,否,上海,上海
3120,男,21,否,广西,柳州
3121,男,28,是,宁夏,银川
3122,男,25,否,浙江,温州
3123,女,24,是,江苏,南京
3124,男,19,否,湖南,长沙
3125,女,39,否,山西,临汾
3126,男,28,是,安徽,安庆
3127,男,37,否,安徽,安庆
3128,女,41,是,内蒙古,鄂尔多斯
3129,女,37,否,辽宁,大连
3130,男,33,否,重庆,重庆
3131,女,37,是,湖北,宜昌
3132,女,33,否,陕西,宝鸡
3133,女,21,否,四川,绵阳
3134,男,34,否,吉林,延边
3135,男,34,是,河南,许昌
3136,女,25,否,江苏,南通
3137,男,26,否,海南,三亚
3138,女,24,是,河北,唐山
3139,男,30,否,福建,福州
3140,女,18,否,四川,宜宾
3141,女,35,否,江苏,无锡
3142,男,32,否,新疆,克拉玛依
3143,男,44,是,广东,中山
3144,男,31,否,北京,北京
3145,男,34,是,西藏,拉萨
3146,男,28,否,重庆,重庆
3147,男,21,否,北京,北京
3148,女,23,否,河南,洛阳
3149,女,65,是,黑龙江,哈尔滨
3150,女,54,是,湖北,荆州
3151,女,32,否,福建,泉州
3152,女,20,否,山东,威海
3153,女,53,是,云南,丽江
3154,女,28,否,海南,儋州
3155,女,31,否,浙江,金华
3156,男,23,否,河南,许昌
3157,女,24,否,湖北,宜昌
3158,男,41,否,天津,天津
3159,女,25,是,广西,桂林
3160,女,25,是,江苏,苏州
3161,女,23,是,广东,珠海
3162,女,25,是,甘肃,兰州
3163,女,30,是,北京,北京
3164,女,19,否,上海,上海
3165,男,21,否,贵州,安顺
3166,女,30,是,黑龙江,齐齐哈尔
3167,女,60,是,江苏,常州
3168,女,50,是,北京,北京
3169,男,30,是,福建,福州
3170,女,54,否,安徽,芜湖
3171,男,29,是,福建,厦门
3172,男,33,否,湖南,株洲
3173,女,27,否,天津,天津
3174,女,37,否,浙江,杭州
3175,女,20,否,陕西,渭南
3176,男,25,是,浙江,绍兴
3177,女,51,否,海南,三亚
3178,女,44,否,甘肃,兰州
3179,男,48,是,浙江,绍兴
3180,男,27,是,福建,厦门
3181,女,23,是,江苏,苏州
3182,女,20,否,湖南,衡阳
3183,男,20,是,北京,北京
3184,男,28,是,安徽,芜湖
3185,女,26,是,湖北,武汉
3186,男,48,否,河北,廊坊
3187,男,43,是,吉林,长春
3188,男,26,否,湖南,衡阳
3189,女,18,是,辽宁,抚顺
3190,女,30,否,云南,昆明
3191,男,20,是,北京,北京
3192,女,43,是,河北,石家庄
3193,女,37,否,河北,廊坊
3194,女,24,否,江苏,常州
3195,女,33,否,广东,佛山
3196,男,19,否,重庆,重庆
3197,男,40,是,浙江,金华
3198,女,18,是,陕西,宝鸡
3199,男,24,否,江苏,南京
3200,女,24,是,陕西,西安
3201,女,32,否,江西,赣州
3202,男,20,是,浙江,杭州
3203,女,19,是,福建,福州
3204,男,21,是,福建,福州
3205,女,39,是,海南,三亚
3206,女,26,否,河南,许昌
3207,女,26,否,天津,天津
3208,女,27,否,贵州,遵义
